日期,当日确诊,当日疑似,当日治愈,当日死亡,当日重症,总计确诊,总计疑似,总计治愈,总计死亡,总计重症,总计境外输入
2020-01-20,291,27,25,6,0,291,54,25,6,0,0
2020-01-21,149,26,-25,3,0,440,37,25,9,102,0
2020-01-22,131,257,28,8,0,571,393,28,17,95,0
2020-01-23,259,680,6,8,0,830,1072,34,25,177,0
2020-01-24,444,1118,4,16,0,1287,1965,38,41,237,0
2020-01-25,688,1309,11,15,0,1975,2684,49,56,324,0
2020-01-26,769,3806,2,24,0,2744,5794,51,80,461,0
2020-01-27,1771,2077,9,26,0,4515,6973,60,106,976,0
2020-01-28,1459,3248,43,26,0,5974,9239,103,132,1239,0
2020-01-29,1737,4148,21,38,0,7711,12167,124,170,1370,0
2020-01-30,1981,4812,47,43,0,9692,15238,171,213,1527,0
2020-01-31,2099,5019,72,46,0,11791,17988,243,259,1795,0
2020-02-01,2589,4562,85,45,0,14380,19544,328,304,2110,0
2020-02-02,2825,5173,147,57,0,17205,21558,475,361,2296,0
2020-02-03,3233,5072,157,64,0,20438,23214,632,425,2788,0
2020-02-04,3886,3971,260,65,0,24324,23260,892,490,3219,0
2020-02-05,3694,5328,261,73,0,28018,24702,1153,563,3859,0
2020-02-06,3193,4833,387,73,0,31161,26359,1540,636,4821,0
2020-02-07,3437,4214,510,86,0,34546,27657,2050,722,6101,0
2020-02-08,2652,3916,599,89,0,37198,28942,2649,811,6188,0
2020-02-09,2973,4008,632,97,0,40171,23589,3281,908,6484,0
2020-02-10,2467,3536,715,108,0,42638,21675,3996,1016,7333,0
2020-02-11,2015,3342,644,97,0,44653,16067,4740,1113,8204,0
2020-02-12,14108,2807,1002,146,0,58761,13435,5642,1259,8030,0
2020-02-13,5090,2450,1081,121,0,63851,10109,6723,1380,10204,0
2020-02-14,2641,2277,1373,143,0,66492,8969,8096,1523,11053,0
2020-02-15,2008,1918,1323,142,0,68500,8228,9419,1665,11272,0
2020-02-16,2048,1563,1425,105,0,70548,7264,10844,1770,10644,0
2020-02-17,1888,1432,1708,98,0,72436,6242,12552,1868,11741,0
2020-02-18,1749,1185,1824,136,0,74185,5248,14376,2004,11977,0
2020-02-19,817,1277,1781,114,0,75002,4922,16157,2118,11864,0
2020-02-20,889,1614,2109,118,0,75891,5206,18266,2236,11633,0
2020-02-21,397,1361,2393,109,0,76288,5365,20659,2345,11477,0
2020-02-22,453,882,2229,97,0,76741,4148,22888,2442,10968,0
2020-02-23,409,620,1846,150,0,77150,3434,24734,2592,9915,0
2020-02-24,508,530,2589,71,0,77658,2824,27323,2663,9126,0
2020-02-25,406,439,2422,52,0,78064,2491,29745,2715,8752,0
2020-02-26,433,508,2750,29,0,78497,2358,32495,2744,8346,0
2020-02-27,327,452,3622,44,0,78824,2308,36117,2788,7952,0
2020-02-28,427,248,2885,47,0,79251,1418,39002,2835,7664,0
2020-02-29,573,132,2623,35,0,79824,851,41625,2870,7365,0
2020-03-01,202,141,2837,42,0,80026,715,44462,2912,7110,0
2020-03-02,125,129,2742,31,0,80151,587,47204,2943,6806,0
2020-03-03,119,143,2652,38,0,80270,520,49856,2981,6416,0
2020-03-04,139,143,2189,31,0,80409,522,52045,3012,5952,20
2020-03-05,143,102,1681,30,0,80552,482,53726,3042,5737,36
2020-03-06,99,99,1678,28,0,80651,502,55404,3070,5489,60
2020-03-07,44,84,1661,27,0,80695,458,57065,3097,5264,63
2020-03-08,40,60,1535,22,0,80735,421,58600,3119,5111,67
2020-03-09,19,36,1297,17,0,80754,349,59897,3136,4794,69
2020-03-10,24,31,1578,22,0,80778,285,61475,3158,4492,79
2020-03-11,15,33,1318,11,0,80793,253,62793,3169,4257,85
2020-03-12,20,33,1318,7,0,80813,147,64111,3176,4020,88
2020-03-13,11,17,1430,13,0,80824,115,65541,3189,3610,95
2020-03-14,20,39,1370,10,0,80844,113,66911,3199,3226,111
2020-03-15,16,41,838,14,0,80860,134,67749,3213,3032,123
2020-03-16,21,45,930,13,0,80881,128,68679,3226,2830,143
2020-03-17,13,21,922,11,0,80894,119,69601,3237,2622,155
2020-03-18,34,23,819,8,0,80928,105,70420,3245,2314,189
2020-03-19,39,31,730,3,0,80967,104,71150,3248,2136,228
2020-03-20,41,36,590,7,0,81008,106,71740,3255,1963,269
2020-03-21,46,45,504,6,0,81054,118,72244,3261,1845,314
2020-03-22,39,47,459,9,0,81093,136,72703,3270,1749,353
2020-03-23,78,35,456,7,0,81171,132,73159,3277,1573,427
2020-03-24,47,33,491,4,0,81218,134,73650,3281,1399,474
2020-03-25,67,58,401,6,0,81285,159,74051,3287,1235,541
2020-03-26,55,49,537,5,0,81340,189,74588,3292,1034,595
2020-03-27,54,29,383,3,0,81394,184,74971,3295,921,649
2020-03-28,45,28,477,5,0,81439,174,75448,3300,742,693
2020-03-29,31,17,322,4,0,81470,168,75770,3304,633,723
2020-03-30,48,44,282,1,0,81518,183,76052,3305,528,771
2020-03-31,36,26,186,7,0,81554,172,76238,3312,466,806
2020-04-01,35,20,170,6,0,81589,153,76408,3318,429,841
2020-04-02,31,12,163,4,0,81620,135,76571,3322,379,870
2020-04-03,19,11,180,4,0,81639,114,76751,3326,331,888
2020-04-04,30,11,213,3,0,81669,107,76964,3330,295,913
2020-04-05,39,10,114,1,0,81708,88,77078,3331,265,951
2020-04-06,32,12,89,0,0,81740,89,77167,3331,211,983
2020-04-07,62,12,112,2,0,81802,83,77279,3333,189,1042
2020-04-08,63,17,91,2,0,81865,73,77370,3335,176,1103
2020-04-09,42,3,85,1,0,81907,53,77455,3336,144,1141
2020-04-10,46,8,70,3,0,81953,44,77525,3339,141,1183
2020-04-11,99,49,50,0,0,82052,82,77575,3339,139,1280
2020-04-12,108,6,88,2,0,82160,72,77663,3341,121,1378
2020-04-13,89,3,75,0,0,82249,72,77738,3341,116,1464
2020-04-14,0,11,0,0,0,82295,73,77816,3342,113,1500
2020-04-15,46,4,76,0,0,82341,63,77892,3342,95,1534
2020-04-16,26,3,52,0,0,82692,62,76979,4632,89,1549
2020-04-17,27,5,50,0,0,82719,63,77029,4632,85,1566
2020-04-18,0,2,0,0,0,82735,48,77062,4632,85,1575
2020-04-19,0,2,0,0,0,82747,43,77084,4632,81,1583
2020-04-20,0,3,0,0,0,82758,37,77123,4632,82,1587
2020-04-21,0,3,0,0,0,82788,35,77151,4632,78,1610
2020-04-22,10,0,56,0,0,82798,20,77207,4632,63,1616
2020-04-23,6,2,50,0,0,82804,20,77257,4632,57,1618
2020-04-24,0,3,0,0,0,82816,17,77346,4632,49,1629
2020-04-25,0,0,0,0,0,82827,15,77394,4632,51,1634
2020-04-26,0,5,0,0,0,82830,10,77474,4633,52,1636
2020-04-27,0,1,0,0,0,82836,9,77555,4633,50,1639
2020-04-28,22,2,23,0,0,82858,10,77578,4633,22,1660
2020-04-29,0,3,0,0,0,82862,10,77610,4633,41,1664
2020-04-30,0,3,0,0,0,82874,9,77642,4633,38,1670
2020-05-01,0,2,0,0,0,82875,11,77685,4633,37,1671
2020-05-02,0,0,0,0,0,82877,10,77713,4633,34,1672
2020-05-03,3,1,53,0,0,82880,3,77766,4633,33,1675
2020-05-04,1,0,87,0,0,82881,2,77853,4633,29,1676
2020-05-05,0,3,0,0,0,82883,5,77911,4633,26,1678
2020-05-06,0,2,0,0,0,82885,4,77957,4633,23,1680
2020-05-07,0,3,0,0,0,82886,6,77993,4633,18,1680
2020-05-08,0,2,0,0,0,82887,8,78046,4633,15,1681
2020-05-09,14,1,74,0,0,82901,4,78120,4633,13,1683
2020-05-10,17,0,24,0,0,82918,3,78144,4633,9,1690
2020-05-11,1,1,27,0,0,82919,3,78171,4633,10,1691
2020-05-12,7,1,18,0,0,82926,4,78189,4633,10,1692
2020-05-13,3,0,6,0,0,82929,4,78195,4633,9,1692
2020-05-14,4,1,14,0,0,82933,4,78209,4633,11,1692
2020-05-15,8,2,10,0,0,82941,3,78219,4633,11,1698
2020-05-16,5,2,8,0,0,82947,4,78227,4634,10,1700
2020-05-17,7,1,11,0,0,82954,4,78238,4634,8,1704
2020-05-18,6,1,3,0,0,82960,3,78241,4634,10,1707
2020-05-19,5,3,3,0,0,82965,7,78244,4634,9,1708
2020-05-20,2,0,5,0,0,82967,7,78249,4634,8,1709
2020-05-21,4,1,6,0,0,82971,7,78255,4634,8,1711
2020-05-22,0,2,3,0,0,82971,6,78258,4634,9,1711
2020-05-23,3,3,3,0,0,82974,9,78261,4634,8,1713
2020-05-24,11,0,7,0,0,82985,6,78268,4634,7,1724
2020-05-25,7,0,9,0,0,82992,5,78277,4634,7,1731
2020-05-26,1,1,3,0,0,82993,6,78280,4634,5,1732
2020-05-27,2,0,8,0,0,82995,5,78288,4634,4,1734
2020-05-28,0,0,0,0,0,82995,5,78291,4634,4,1734
2020-05-29,0,1,0,0,0,82999,5,78302,4634,3,1738
2020-05-30,2,0,2,0,0,83001,4,78304,4634,3,1740
2020-05-31,16,0,3,0,0,83017,3,78307,4634,3,1756
2020-06-01,3,0,6,0,0,83022,2,78315,4634,3,1761
2020-06-02,1,1,1,0,0,83021,3,78314,4634,2,1762
2020-06-03,1,0,5,0,0,83022,3,78319,4634,2,1763
2020-06-04,0,0,0,0,0,83027,2,78327,4634,1,1768
2020-06-05,0,1,0,0,0,83030,2,78329,4634,1,1771
2020-06-06,0,2,0,0,0,83036,3,78332,4634,0,1776
2020-06-07,0,1,0,0,0,83040,4,78341,4634,0,1780
2020-06-08,3,0,10,0,0,83043,1,78351,4634,0,1783
2020-06-09,3,1,6,0,0,83046,2,78357,4634,0,1786
2020-06-10,0,0,0,0,0,83057,1,78361,4634,0,1797
2020-06-11,7,0,4,0,0,83064,1,78365,4634,0,1803
2020-06-12,11,0,2,0,0,83075,1,78367,4634,0,1808
2020-06-13,57,1,2,0,0,83132,2,78369,4634,1,1827
2020-06-14,49,1,1,0,0,83181,3,78370,4634,2,1837
2020-06-15,40,3,7,0,0,83221,4,78377,4634,5,1845
2020-06-16,44,3,2,0,0,83265,7,78379,4634,7,1856
2020-06-17,28,3,15,0,0,83293,7,78394,4634,9,1860
2020-06-18,32,2,0,0,0,83325,7,78398,4634,13,1864
2020-06-19,27,4,12,0,0,83352,11,78410,4634,13,1868
2020-06-20,26,3,3,0,0,83378,13,78413,4634,15,1869
