省份名,今日确诊,今日疑似,今日治愈,今日死亡,今日重症,总计确诊,总计疑似,总计治愈,总计死亡,总计重症,总计境外输入,上次更新时间
湖北,0,0,0,0,0,68135,0,63623,4512,0,0,2020-06-22 00:04:15
广东,0,0,0,0,0,1634,0,1614,8,0,0,2020-06-22 08:49:29
河南,0,0,0,0,0,1276,0,1254,22,0,0,2020-06-22 00:04:15
浙江,0,0,0,0,0,1269,0,1267,1,0,0,2020-06-22 00:04:15
香港,3,0,1,1,0,1131,0,1078,5,0,0,2020-06-22 09:44:44
湖南,0,0,0,0,0,1019,0,1015,4,0,0,2020-06-22 00:04:15
安徽,0,0,0,0,0,991,0,985,6,0,0,2020-06-22 00:04:15
黑龙江,0,0,0,0,0,947,0,934,13,0,0,2020-06-22 00:04:15
江西,0,0,0,0,0,932,0,931,1,0,0,2020-06-22 00:04:15
北京,9,0,0,0,0,830,0,584,9,0,0,2020-06-22 08:34:24
山东,0,0,0,0,0,792,0,785,7,0,0,2020-06-22 00:04:15
上海,3,0,0,0,0,701,0,668,7,0,0,2020-06-22 08:14:44
江苏,0,0,0,0,0,653,0,653,0,0,0,2020-06-22 00:04:15
四川,0,0,0,0,0,589,0,570,3,0,0,2020-06-22 00:04:15
重庆,0,0,0,0,0,582,0,573,6,0,0,2020-06-22 00:04:15
台湾,0,0,0,0,0,446,0,434,7,0,0,2020-06-22 00:04:15
福建,1,0,0,0,0,363,0,357,1,0,0,2020-06-22 00:04:15
河北,2,0,0,0,0,346,0,322,6,0,0,2020-06-22 08:49:28
陕西,3,0,0,0,0,317,0,306,3,0,0,2020-06-22 09:44:43
广西,0,0,0,0,0,254,0,252,2,0,0,2020-06-22 00:04:15
内蒙古,0,0,0,0,0,238,0,235,1,0,0,2020-06-22 07:44:33
山西,0,0,0,0,0,198,0,198,0,0,0,2020-06-22 00:04:15
天津,1,0,0,0,0,198,0,191,3,0,0,2020-06-22 10:04:38
云南,0,0,0,0,0,185,0,183,2,0,0,2020-06-22 00:04:15
海南,0,0,0,0,0,171,0,163,6,0,0,2020-06-22 00:04:15
吉林,0,0,0,0,0,155,0,153,2,0,0,2020-06-22 00:04:15
辽宁,1,0,0,0,0,154,0,147,2,0,0,2020-06-22 08:44:35
甘肃,0,0,0,0,0,151,0,137,2,0,0,2020-06-22 00:04:15
贵州,0,0,0,0,0,147,0,145,2,0,0,2020-06-22 00:04:15
新疆,0,0,0,0,0,76,0,73,3,0,0,2020-06-22 00:04:15
宁夏,0,0,0,0,0,75,0,75,0,0,0,2020-06-22 00:04:15
澳门,0,0,0,0,0,45,0,45,0,0,0,2020-06-22 00:04:15
青海,0,0,0,0,0,18,0,18,0,0,0,2020-06-22 00:04:15
西藏,0,0,0,0,0,1,0,1,0,0,0,2020-06-22 00:04:15
